datetime,wind_speed,value
201010183,1,107
201010184,0.5,107
201010185,0.9,107
201010186,1.9,104
201010187,2.9,101
201010188,3.6,101
201010189,4.3,97
2010101810,4.7,97
2010101811,5.2,99
2010101812,5.6,99
2010101813,5.9,106
2010101814,6.3,110
2010101815,6.5,114
2010101816,6.9,114
2010101817,7.2,113
2010101818,7.5,109
2010101819,7.5,103
2010101820,7.4,103
2010101821,7.3,91
2010101822,7,86
2010101823,6.8,84
201010190,6.6,84
201010191,6.3,86
201010192,6.1,90
201010193,5.9,95
201010194,5.7,95
201010195,5.4,100
201010196,5.3,100
201010197,5,98
201010198,4.6,98
201010199,4.3,91
2010101910,4,88
2010101911,3.7,87
2010101912,3.5,87
2010101913,3.3,92
2010101914,3,97
2010101915,2.8,102
2010101916,2.6,102
2010101917,2.4,109
2010101918,2.2,109
2010101919,2.1,105
2010101920,1.9,105
2010101921,1.8,94
2010101922,1.9,88
2010101923,1.9,84
201010200,2,84
201010201,1.9,84
201010202,1.8,89
201010203,1.8,96
201010204,1.8,96
201010205,2.1,107
201010206,2.5,110
201010207,3,111
201010208,3.1,111
201010209,3.1,105
2010102010,3.1,100
2010102011,3.1,96
2010102012,3.1,96
2010102013,3.2,96
2010102014,3.3,99
2010102015,3.3,104
2010102016,3.5,104
2010102017,3.6,113
2010102018,3.7,115
2010102019,3.7,113
2010102020,3.6,113
2010102021,3.5,101
2010102022,3.5,91
2010102023,3.5,82
201010210,3.4,82
201010211,3.4,75
201010212,3.3,76
201010213,3.5,80
201010214,3.7,80
201010215,4,91
201010216,4.2,95
201010217,4.6,96
201010218,4.8,96
201010219,4.9,89
2010102110,5,82
2010102111,5.1,74
2010102112,5.2,74
2010102113,5.3,67
2010102114,5.6,68
2010102115,5.9,72
2010102116,6.1,72
2010102117,6.2,83
2010102118,6.5,87
2010102119,6.7,88
2010102120,7,88
2010102121,7.3,79
2010102122,7.4,69
2010102123,7.6,59
201010220,7.7,59
201010221,8,48
201010222,8.2,48
201010223,8.6,52
201010224,9.1,52
201010225,9.4,66
201010226,10,74
201010227,10.5,79
201010228,10.9,79
201010229,11.3,77
2010102210,11.6,70
2010102211,11.9,62
2010102212,12.1,62
2010102213,12.4,52
2010102214,12.7,51
2010102215,13,55
2010102216,13.3,55
2010102217,13.6,68
2010102218,13.9,75
2010102219,14.1,79
2010102220,14.2,79
2010102221,14.4,76
2010102222,14.4,67
2010102223,14.4,57
201010230,14.4,57
201010231,14.5,44
201010232,14.5,43
201010233,14.4,47
201010234,14.5,47
201010235,14.4,63
201010236,14.4,74
201010237,14,82
201010238,13.7,82
201010239,13.3,87
2010102310,13,82
2010102311,12.6,75
2010102312,12.2,75
2010102313,11.5,64
